Customer_ID,Discount,Order_Date,Order_ID,Price,Product_ID,Profit,Quantity,Row_ID,Ship_Date,Ship_Mode
JK-15370,0.3,21/8/2016,CA-2016-122581,573.174,FUR-CH-10002961,63.686,7,1,25/8/2016,Standard Class
BD-11320,0,23/9/2017,CA-2017-117485,291.96,TEC-AC-10004659,102.186,4,2,29/9/2017,Standard Class
LB-16795,0.7,6/10/2016,US-2016-157490,17,OFF-BI-10002824,-14.92,4,3,7/10/2016,First Class
KB-16315,0.2,2/7/2015,CA-2015-111703,15.552,OFF-PA-10003349,5.6376,3,4,9/7/2015,Standard Class
DO-13435,0.2,3/10/2014,CA-2014-108903,142.488,TEC-AC-10003023,-3,3,5,3/10/2014,Same Day
CB-12025,0,27/11/2016,CA-2016-117583,79.95,OFF-BI-10004233,38.376,5,6,30/11/2016,First Class
SM-20005,0,10/12/2014,CA-2014-148488,11,OFF-PA-10004470,5.2256,2,7,15/12/2014,Standard Class
RD-19480,0,1/12/2016,CA-2016-136434,17.31,FUR-FU-10001196,5.193,3,8,7/12/2016,Standard Class
JM-16195,0,30/4/2014,CA-2014-160094,826,OFF-ST-10000585,214,5,9,2/5/2014,First Class
SC-20230,0,3/8/2017,CA-2017-141747,16.06,OFF-ST-10003996,4.1756,1,10,8/8/2017,Second Class
BO-11350,0.2,3/5/2017,CA-2017-132199,8,OFF-FA-10002280,2.8,2,11,8/5/2017,Standard Class
BD-11320,0.2,27/11/2017,CA-2017-107125,117.488,OFF-BI-10001989,41.1208,7,12,2/12/2017,Standard Class
AB-10105,0.7,19/9/2017,CA-2017-153822,18.18,OFF-BI-10001460,-13.938,4,13,25/9/2017,Standard Class
NP-18670,0,12/10/2017,CA-2017-150091,45,TEC-AC-10002167,4,3,14,16/10/2017,Standard Class
KD-16270,0,2/9/2016,CA-2016-130407,39.98,FUR-FU-10001967,9.995,2,15,6/9/2016,Standard Class
BF-11005,0.6,28/7/2016,US-2016-105452,302,FUR-FU-10003806,-378.4,5,16,1/8/2016,Standard Class
LE-16810,0.8,27/5/2014,US-2014-117058,17.46,OFF-BI-10004139,-30.555,6,17,30/5/2014,First Class
TT-21070,0,13/11/2017,CA-2017-122490,344.91,OFF-ST-10000991,10.3473,3,18,18/11/2017,Standard Class
CA-12055,0.2,22/11/2016,US-2016-164945,134.272,OFF-BI-10001524,46.9952,8,19,27/11/2016,Standard Class
GD-14590,0,5/5/2014,CA-2014-111934,11.88,OFF-BI-10004364,5,2,20,7/5/2014,First Class
DK-12895,0,8/3/2015,CA-2015-105627,373.08,FUR-FU-10000308,82.0776,6,21,12/3/2015,Standard Class
RM-19675,0,19/11/2014,CA-2014-158274,503.96,TEC-PH-10003273,131.0296,4,22,24/11/2014,Second Class
MY-18295,0,28/4/2014,CA-2014-118976,5.34,OFF-AR-10004752,1.4952,2,23,3/5/2014,Standard Class
DB-13555,0.2,14/9/2017,CA-2017-115882,74.352,OFF-PA-10001125,23.235,3,24,17/9/2017,First Class
JS-15880,0,21/12/2015,US-2015-126214,1618,FUR-TA-10003748,356.0414,13,25,24/12/2015,Second Class
MJ-17740,0,11/3/2017,CA-2017-147291,895.92,OFF-BI-10003091,421.0824,4,26,17/3/2017,Standard Class
JL-15835,0,17/12/2015,US-2015-138121,142.36,FUR-CH-10004875,38.4372,2,27,17/12/2015,Same Day
PF-19120,0.8,7/4/2015,CA-2015-140025,463.248,OFF-AP-10002651,-1181.2824,8,28,11/4/2015,Standard Class
KB-16315,0,26/8/2014,CA-2014-103331,3.38,OFF-PA-10002659,1.5548,1,29,1/9/2014,Standard Class
DO-13645,0,4/12/2017,CA-2017-118003,302.94,FUR-CH-10004860,18.1764,3,30,10/12/2017,Standard Class
PG-18820,0,27/7/2015,US-2015-129553,29.97,TEC-PH-10004897,0.2997,3,31,2/8/2015,Standard Class
AJ-10780,0,14/5/2017,US-2017-133361,14,OFF-AR-10003045,6.615,5,32,17/5/2017,First Class
JG-15115,0.7,3/12/2015,CA-2015-123092,95,OFF-BI-10001718,-73.577,5,33,7/12/2015,Standard Class
SC-20380,0.2,3/2/2017,CA-2017-126354,115.296,OFF-PA-10004381,40.3536,3,34,8/2/2017,Standard Class
KH-16630,0,18/9/2015,CA-2015-109575,499.99,TEC-PH-10000730,129.9974,1,35,23/9/2015,Standard Class
KL-16555,0.7,26/12/2014,CA-2014-111451,78.6,OFF-BI-10004593,-62.88,5,36,28/12/2014,First Class
TH-21550,0,26/6/2017,CA-2017-133256,543.92,TEC-PH-10002660,135.98,8,37,27/6/2017,First Class
PB-19105,0.2,15/11/2014,CA-2014-128888,604.656,OFF-EN-10003001,204.0714,9,38,22/11/2014,Standard Class
GM-14680,0.2,30/9/2016,CA-2016-106243,523.92,FUR-BO-10003034,-26.196,5,39,4/10/2016,Standard Class
FH-14275,0.2,3/7/2017,CA-2017-121503,273.896,OFF-PA-10001878,92.4399,7,40,6/7/2017,Second Class
JP-15460,0.8,23/11/2017,CA-2017-156622,6.104,OFF-BI-10003707,-9.156,2,41,26/11/2017,First Class
JD-16015,0.8,14/12/2014,CA-2014-148950,5.104,OFF-BI-10001249,-8.6768,4,42,19/12/2014,Standard Class
BH-11710,0.2,9/6/2014,CA-2014-115812,1706.184,FUR-TA-10001539,85.3092,9,43,14/6/2014,Standard Class
JS-15595,0.5,3/3/2014,US-2014-127978,302,FUR-BO-10001972,-199,5,44,8/3/2014,Standard Class
TP-21565,0.6,3/10/2016,CA-2016-103919,38.08,FUR-FU-10001756,-29.512,5,45,7/10/2016,Standard Class
PF-19225,0,3/11/2016,CA-2016-114972,82.95,TEC-AC-10000682,29.0325,5,46,6/11/2016,First Class
BM-11650,0,9/11/2017,CA-2017-152912,826,TEC-AC-10004666,355,3,47,12/11/2017,Second Class
NM-18520,0.6,1/12/2015,US-2015-105676,6.688,FUR-FU-10004270,-4.0128,4,48,2/12/2015,Same Day
CV-12805,0.2,27/4/2017,CA-2017-135692,33.12,OFF-LA-10001158,11.592,4,49,1/5/2017,Standard Class
KH-16630,0.2,25/7/2016,CA-2016-103037,15.712,OFF-LA-10004345,5.6956,4,50,29/7/2016,Standard Class
DB-13210,0.2,26/3/2016,US-2016-162677,119.976,TEC-AC-10001314,-17.9964,3,51,27/3/2016,First Class
CM-12445,0,9/6/2014,CA-2014-133851,23.1,OFF-AR-10003752,10.626,2,52,16/6/2014,Standard Class
SG-20890,0.2,18/5/2017,CA-2017-112536,8,OFF-ST-10004835,0.6696,2,53,23/5/2017,Standard Class
LT-17110,0.2,13/3/2016,CA-2016-159373,70.08,OFF-PA-10000659,24.528,5,54,18/3/2016,Standard Class
NP-18325,0,9/8/2015,CA-2015-131338,6.16,FUR-FU-10001706,2.9568,2,55,12/8/2015,First Class
BH-11710,0.7,14/1/2017,CA-2017-127306,2.508,OFF-BI-10003727,-1.8392,2,56,18/1/2017,Standard Class
TB-21595,0.6,18/2/2014,US-2014-165589,25.16,FUR-FU-10002396,-11.322,5,57,18/2/2014,Same Day
LA-16780,0,11/7/2014,CA-2014-163552,854,FUR-CH-10003379,213.735,3,58,15/7/2014,Standard Class
ML-17410,0.2,18/7/2017,US-2017-142573,311.976,FUR-CH-10000513,-42.8967,3,59,23/7/2017,Standard Class
NP-18325,0,5/12/2017,CA-2017-126865,92.94,OFF-PA-10003039,41.823,3,60,7/12/2017,Second Class
AC-10660,0.2,15/10/2014,US-2014-122021,7.968,OFF-PA-10002230,2.8884,2,61,17/10/2014,First Class
AH-10120,0,8/4/2017,CA-2017-150987,195.76,OFF-PA-10002923,97.88,4,62,12/4/2017,Standard Class
KN-16390,0,3/6/2017,CA-2017-113908,78,TEC-MA-10003173,36.1836,6,63,9/6/2017,Standard Class
ES-14080,0,7/4/2016,CA-2016-154998,37.94,OFF-PA-10004243,18.2112,2,64,9/4/2016,First Class
EM-14140,0,30/5/2016,CA-2016-152730,14.7,OFF-AR-10000940,3.969,5,65,4/6/2016,Standard Class
MC-17845,0.2,20/12/2014,CA-2014-156594,155.12,OFF-BI-10003007,50.414,5,66,23/12/2014,Second Class
HK-14890,0,16/11/2015,CA-2015-150875,696,FUR-TA-10000577,160.1766,2,67,20/11/2015,Standard Class
DP-13000,0.6,12/11/2014,CA-2014-122609,25.128,FUR-FU-10004587,-6.9102,3,68,18/11/2014,Standard Class
TN-21040,0.5,22/4/2016,CA-2016-109869,1272.63,FUR-TA-10001889,-814.4832,6,69,29/4/2016,Standard Class
EB-13750,0.2,12/3/2015,CA-2015-128083,30,FUR-FU-10003194,3.86,4,70,17/3/2015,Standard Class
GB-14575,0,21/9/2015,CA-2015-158421,23.92,OFF-PA-10001801,11.7208,4,71,26/9/2015,Standard Class
RW-19540,0,7/5/2017,CA-2017-141733,26.64,FUR-CH-10002017,7.4592,1,72,11/5/2017,Standard Class
MC-18100,0.8,25/8/2015,CA-2015-168809,3.798,OFF-BI-10000315,-6.0768,1,73,25/8/2015,Same Day
CL-12565,0.2,8/5/2016,CA-2016-106530,25,OFF-ST-10000649,1.57,2,74,8/5/2016,Same Day
SV-20785,0.7,21/6/2014,US-2014-160780,25.164,OFF-BI-10002931,-16.776,2,75,21/6/2014,Same Day
CM-12115,0,31/3/2017,CA-2017-100524,75.04,OFF-PA-10004911,36.0192,8,76,2/4/2017,Second Class
BB-11545,0.2,2/12/2017,CA-2017-102379,39.992,TEC-PH-10001448,-7.9984,1,77,6/12/2017,Standard Class
LM-17065,0,20/2/2015,CA-2015-169740,29.99,TEC-AC-10000927,2.999,1,78,25/2/2015,Standard Class
JG-15805,0.2,5/4/2014,CA-2014-151001,49,OFF-ST-10003455,3.7224,4,79,7/4/2014,First Class
KH-16510,0.15,13/11/2015,CA-2015-104948,683.332,FUR-BO-10004357,-40.196,4,80,17/11/2015,Standard Class
TB-21055,0,27/8/2016,CA-2016-145982,122.97,OFF-PA-10000675,60.2553,3,81,1/9/2016,Second Class
JL-15505,0.2,7/8/2017,CA-2017-156776,207,FUR-CH-10002317,25.898,1,82,11/8/2017,Standard Class
HL-15040,0.2,3/10/2016,CA-2016-140634,15.648,OFF-EN-10001099,5.0856,2,83,6/10/2016,Second Class
MG-17890,0,24/4/2017,CA-2017-166933,1.81,OFF-FA-10002676,0.6516,1,84,28/4/2017,Standard Class
NG-18355,0.4,12/11/2017,US-2017-116659,370,TEC-PH-10002824,-92.6955,3,85,12/11/2017,Same Day
AR-10825,0.2,2/11/2017,CA-2017-141425,384.592,OFF-SU-10000646,-81.7258,2,86,6/11/2017,Second Class
ML-17395,0,5/9/2016,CA-2016-137673,116,TEC-AC-10002345,29,8,87,10/9/2016,Standard Class
TH-21100,0.2,24/11/2014,CA-2014-153850,35.168,FUR-FU-10002960,9.6712,7,88,29/11/2014,Standard Class
GB-14530,0,29/10/2017,CA-2017-160983,46.96,OFF-PA-10002250,22.5408,8,89,31/10/2017,Second Class
MS-17770,0,28/5/2015,CA-2015-135020,45.99,TEC-PH-10004093,13.3371,1,90,2/6/2015,Standard Class
RF-19735,0,26/8/2016,CA-2016-105585,154.9,OFF-PA-10003625,69.705,5,91,27/8/2016,First Class
RW-19540,0.2,26/9/2015,CA-2015-124800,263.96,TEC-PH-10001750,23.0965,5,92,30/9/2015,Standard Class
GR-14560,0,21/11/2014,CA-2014-103401,12,OFF-PA-10003309,6.2208,2,93,26/11/2014,Standard Class
SC-20770,0,12/6/2016,CA-2016-127208,208,OFF-AP-10002118,56.2032,1,94,15/6/2016,First Class
PK-18910,0.7,3/9/2016,CA-2016-158099,1141.47,OFF-BI-10000545,-760.98,5,95,5/9/2016,First Class
AR-10510,0.4,23/5/2014,US-2014-105767,55.188,TEC-PH-10003092,-10.1178,2,96,27/5/2014,Standard Class
HM-14860,0.8,21/7/2014,CA-2014-129189,4.992,OFF-AP-10000124,-12.9792,3,97,25/7/2014,Standard Class
MC-17845,0.2,20/12/2014,CA-2014-156594,487.984,OFF-BI-10004632,152.495,2,98,23/12/2014,Second Class
LL-16840,0,25/4/2017,CA-2017-120222,19.05,OFF-PA-10004675,8.763,3,99,2/5/2017,Standard Class
AC-10660,0.2,23/3/2017,CA-2017-135650,143.728,OFF-ST-10001809,-32.3388,2,100,27/3/2017,Standard Class
ON-18715,0.4,15/11/2016,CA-2016-130820,630,FUR-TA-10001768,-199.5076,4,101,15/11/2016,Same Day
NF-18595,0,4/4/2015,CA-2015-110667,11,OFF-AR-10000716,4.3524,2,102,8/4/2015,Standard Class
GH-14425,0,10/11/2017,CA-2017-141138,111.79,TEC-AC-10001772,43.5981,7,103,16/11/2017,Standard Class
DB-12970,0.1,24/7/2016,CA-2016-162943,253.764,FUR-CH-10001708,31.0156,2,104,26/7/2016,Second Class
RF-19345,0.2,16/9/2014,CA-2014-141152,33.552,OFF-BI-10002931,12.582,1,105,19/9/2014,First Class
AP-10915,0,10/12/2016,CA-2016-128412,35.1,OFF-AP-10000252,12.285,3,106,17/12/2016,Standard Class
SC-20020,0.4,20/6/2014,CA-2014-166863,418.8,TEC-MA-10001972,-97.72,2,107,24/6/2014,Standard Class
EM-14140,0.2,12/11/2017,CA-2017-134915,113,FUR-CH-10004875,9.9652,2,108,12/11/2017,Same Day
JW-15220,0,30/4/2015,US-2015-115238,31.4,FUR-FU-10002960,13.188,5,109,4/5/2015,Standard Class
SC-20095,0,23/11/2014,US-2014-157385,29,TEC-AC-10003280,6.2979,1,110,25/11/2014,First Class
DB-13660,0.2,23/9/2017,CA-2017-121853,72.96,OFF-BI-10000977,23.712,3,111,29/9/2017,Standard Class
AG-10675,0.2,14/1/2016,CA-2016-133368,89.568,OFF-PA-10004039,32.4684,2,112,20/1/2016,Standard Class
RD-19720,0.2,21/11/2016,CA-2016-146157,38.432,OFF-PA-10001790,13.4512,1,113,26/11/2016,Standard Class
HA-14920,0.2,13/10/2016,CA-2016-154018,8.288,OFF-PA-10000551,3.0044,2,114,19/10/2016,Standard Class
BD-11725,0,30/5/2017,CA-2017-125472,241.96,FUR-BO-10000330,33.8744,2,115,31/5/2017,First Class
AP-10915,0,3/11/2016,CA-2016-168893,842.94,FUR-TA-10003392,160.1586,3,116,8/11/2016,Second Class
KM-16375,0.2,20/2/2017,CA-2017-135937,68,FUR-FU-10002253,16.3172,2,117,27/2/2017,Standard Class
WB-21850,0.2,11/12/2016,CA-2016-165330,122,OFF-BI-10004001,39.8736,9,118,11/12/2016,Same Day
TW-21025,0,5/9/2015,CA-2015-135510,67.96,FUR-FU-10000820,12.2328,4,119,12/9/2015,Standard Class
EA-14035,0.2,1/11/2014,CA-2014-114195,68.704,FUR-FU-10002253,16.3172,2,120,3/11/2014,First Class
MH-17290,0,26/4/2014,CA-2014-116785,21.4,OFF-AR-10003504,6.206,5,121,30/4/2014,Standard Class
CA-12265,0,14/9/2015,CA-2015-120362,912.75,FUR-TA-10003008,118.6575,5,122,19/9/2015,Standard Class
BK-11260,0.2,6/12/2014,US-2014-140452,35.168,OFF-ST-10002485,-8.3524,2,123,10/12/2014,Standard Class
AM-10705,0,31/10/2014,CA-2014-145387,1604.9,FUR-CH-10002320,481.47,5,124,2/11/2014,Second Class
KB-16585,0,14/5/2017,CA-2017-129357,64.4,OFF-SU-10004498,1.932,5,125,19/5/2017,Standard Class
JK-15730,0.8,20/3/2015,CA-2015-127607,2.512,OFF-BI-10001308,-4.396,2,126,26/3/2015,Standard Class
RH-19555,0.7,4/12/2015,CA-2015-110247,8.226,OFF-BI-10001553,-6.0324,3,127,8/12/2015,Standard Class
ZC-21910,0.8,19/6/2017,US-2017-102288,2.264,OFF-AP-10004655,-5.2072,1,128,23/6/2017,Standard Class
AA-10645,0.3,22/6/2014,CA-2014-154963,170,FUR-CH-10004698,-4.8588,3,129,27/6/2014,Standard Class
JE-15745,0.2,26/4/2015,US-2015-134026,72.784,OFF-ST-10004123,-18.196,1,130,2/5/2015,Standard Class
LW-17215,0,7/11/2016,CA-2016-132997,359.97,TEC-PH-10003811,100.7916,3,131,9/11/2016,First Class
SC-20260,0,15/11/2014,CA-2014-128622,10.95,OFF-SU-10001574,3.285,3,132,17/11/2014,Second Class
KB-16405,0,4/9/2017,CA-2017-101182,12.96,OFF-PA-10001800,6.2208,2,133,5/9/2017,First Class
CA-12775,0,11/12/2015,CA-2015-135853,23,OFF-BI-10004965,10.35,2,134,14/12/2015,First Class
LS-16945,0.7,18/7/2016,CA-2016-114727,1.872,OFF-BI-10004967,-1.4352,3,135,24/7/2016,Standard Class
AJ-10795,0.2,5/1/2016,CA-2016-134474,5.248,OFF-AR-10003958,0.5904,2,136,7/1/2016,Second Class
ME-17725,0.2,24/9/2015,CA-2015-161830,14,OFF-BI-10001097,5.4201,3,137,26/9/2015,Second Class
HF-14995,0,21/9/2014,CA-2014-153969,19.35,OFF-PA-10002246,9.4815,3,138,25/9/2014,Standard Class
DA-13450,0,12/1/2017,US-2017-158512,37.68,FUR-FU-10004973,15.8256,2,139,17/1/2017,Second Class
ST-20530,0,1/3/2015,CA-2015-153325,58.72,OFF-BI-10004236,27.0112,4,140,2/3/2015,Second Class
BD-11620,0.2,31/12/2016,CA-2017-100202,302.376,TEC-PH-10002563,22.6782,3,141,5/1/2017,Standard Class
SC-20050,0.2,3/9/2017,CA-2017-123022,82.56,OFF-BI-10002225,28.896,5,142,8/9/2017,Standard Class
JD-15895,0,25/1/2016,CA-2016-168046,45.98,FUR-FU-10000747,7.8166,1,143,28/1/2016,Second Class
TC-21475,0.2,22/8/2016,US-2016-141880,98.328,FUR-FU-10001979,9.8328,3,144,23/8/2016,First Class
