Order_ID,Product_ID,Customer_ID,order_date,Profit
CA-2016-122581,FUR-CH-10002961,JK-15370,2016-08-21,63.69
CA-2017-117485,TEC-AC-10004659,BD-11320,2017-09-23,102.19
US-2016-157490,OFF-BI-10002824,LB-16795,2016-10-06,-14.92
CA-2015-111703,OFF-PA-10003349,KB-16315,2015-07-02,5.64
CA-2014-108903,TEC-AC-10003023,DO-13435,2014-10-03,-3.00
CA-2016-117583,OFF-BI-10004233,CB-12025,2016-11-27,38.38
CA-2014-148488,OFF-PA-10004470,SM-20005,2014-12-10,5.23
CA-2016-136434,FUR-FU-10001196,RD-19480,2016-12-01,5.19
CA-2014-160094,OFF-ST-10000585,JM-16195,2014-04-30,214.00
CA-2017-141747,OFF-ST-10003996,SC-20230,2017-08-03,4.18
CA-2017-132199,OFF-FA-10002280,BO-11350,2017-05-03,2.80
CA-2017-107125,OFF-BI-10001989,BD-11320,2017-11-27,41.12
CA-2017-153822,OFF-BI-10001460,AB-10105,2017-09-19,-13.94
CA-2017-150091,TEC-AC-10002167,NP-18670,2017-10-12,4.00
CA-2016-130407,FUR-FU-10001967,KD-16270,2016-09-02,10.00
US-2016-105452,FUR-FU-10003806,BF-11005,2016-07-28,-378.40
US-2014-117058,OFF-BI-10004139,LE-16810,2014-05-27,-30.56
CA-2017-122490,OFF-ST-10000991,TT-21070,2017-11-13,10.35
US-2016-164945,OFF-BI-10001524,CA-12055,2016-11-22,47.00
CA-2014-111934,OFF-BI-10004364,GD-14590,2014-05-05,5.00
CA-2015-105627,FUR-FU-10000308,DK-12895,2015-03-08,82.08
CA-2014-158274,TEC-PH-10003273,RM-19675,2014-11-19,131.03
CA-2014-118976,OFF-AR-10004752,MY-18295,2014-04-28,1.50
CA-2017-115882,OFF-PA-10001125,DB-13555,2017-09-14,23.24
US-2015-126214,FUR-TA-10003748,JS-15880,2015-12-21,356.04
CA-2017-147291,OFF-BI-10003091,MJ-17740,2017-03-11,421.08
US-2015-138121,FUR-CH-10004875,JL-15835,2015-12-17,38.44
